merchant_name,categoria
LOGGI PAG,Transporte
FARMACIA SAO PAULO COM,Saude
SPOTIFY LTDA 120,Entretenimento
99 TAXI COM,Transporte
MICROSOFT SA,Servicos
99 TAXI LTDA 625,Transporte
AMAZON BRASIL LTDA 967,Varejo
CINESYSTEM PAG,Lazer
CINESYSTEM *TRIP,Lazer
CINEMARK *TRIP 983,Lazer
HOTEL TIVOLI LTDA,Viagem
PAGBANCO *TRIP,Fintech
AMAZON BRASIL RECEB,Varejo
MICROSOFT COM 817,Servicos
NETSHOES RECEB,Varejo
SUBWAY PAG,Alimentacao
MICROSOFT LTDA,Servicos
NETSHOES LTDA 316,Viagem
HOTEL TRANSMERICA COM,Viagem
DROGASIL PAG 760,Saude
AMERICANAS RECEB,Varejo
HOTEL TRANSMERICA,Viagem
HOTEL TIVOLI *TRIP,Viagem
HOTEL TRANSMERICA COM 849,Viagem
AWS BRASIL COM 845,Servicos
CARREFOUR COM 746,Supermercado
AMAZON BRASIL PAG,Varejo
APPLE BRASIL RECEB 261,Varejo
99 TAXI *TRIP 799,Transporte
AMERICANAS *TRIP,Varejo
HBO MAX LTDA,Entretenimento
HOTEL TIVOLI RECEB,Viagem
NETSHOES *TRIP,Varejo
PAGBANCO COM,Fintech
MAGAZINE LUIZA LTDA 783,Varejo
FARMACIA SAO PAULO *TRIP,Saude
HBO MAX RECEB 820,Entretenimento
AMAZON PRIME,Entretenimento
UBER DO BRASIL *TRIP 70,Transporte
AMAZON BRASIL RECEB 993,Varejo
DROGARIA RAIA PAG 928,Saude
FARMACIA SAO PAULO COM,Saude
HBO MAX PAG,Entretenimento
AWS BRASIL COM,Servicos
HOTEL TRANSMERICA RECEB,Viagem
99 TAXI PAG 933,Transporte
AMAZON BRASIL *TRIP,Varejo
GITHUB RECEB,Servicos
CARREFOUR RECEB,Supermercado
AIRBNB LTDA,Viagem
AWS BRASIL RECEB,Servicos
CABIFY RECEB 934,Transporte
HOTEL TIVOLI SA,Viagem
GOOGLE CLOUD LTDA,Fintech
MERCADO PAGO *TRIP,Fintech
SPOTIFY COM,Entretenimento
MICROSOFT SA 957,Servicos
PAGBANCO COM,Fintech
MERCADO PAGO RECEB,Fintech
SAMSUNG BRASIL *TRIP,Varejo
HBO MAX RECEB,Entretenimento
99 TAXI LTDA,Transporte
GOOGLE CLOUD,Servicos
RIACHUELO SA,Varejo
LOGGI COM 986,Transporte
99 TAXI 371,Transporte
AMERICANAS COM,Varejo
SPOTIFY RECEB,Entretenimento
FARMACIA SAO PAULO PAG 837,Saude
DROGASIL RECEB 189,Saude
CINEMARK COM 470,Lazer
MERCADO PAGO COM,Fintech
POSTO IPIRANGA COM,Combustivel
PAGBANCO LTDA,Fintech
FARMACIA SAO PAULO RECEB,Saude
PAGBANCO LTDA,Fintech
GITHUB COM 684,Servicos
DROGARIA RAIA SA 527,Saude
CINEMARK SA 871,Lazer
SUBWAY LTDA,Alimentacao
APPLE BRASIL RECEB,Varejo
AMAZON PRIME *TRIP,Entretenimento
SUBWAY,Alimentacao
AMAZON PRIME,Entretenimento
POSTO IPIRANGA COM,Combustivel
CINESYSTEM LTDA 332,Alimentacao
SAMSUNG BRASIL *TRIP 511,Varejo
AMERICANAS LTDA,Varejo
MERCADO PAGO *TRIP,Fintech
POSTO IPIRANGA SA,Combustivel
SPOTIFY *TRIP,Entretenimento
FARMACIA SAO PAULO LTDA,Saude
CINESYSTEM PAG,Lazer
MERCADO PAGO *TRIP,Fintech
NETFLIX,Entretenimento
CINESYSTEM SA,Lazer
AMAZON PRIME RECEB,Entretenimento
PAGBANCO COM 369,Fintech
DROGARIA RAIA PAG,Saude
SPOTIFY SA,Varejo
DROGASIL RECEB,Saude
APPLE BRASIL LTDA 710,Varejo
HOTEL TIVOLI SA,Viagem
IFOOD COM BR,Alimentacao
MERCADO PAGO *TRIP,Fintech
LOGGI PAG 118,Transporte
PLAYARTE SA 961,Lazer
NETFLIX SA,Entretenimento
CINESYSTEM COM 3,Lazer
HOTEL TIVOLI LTDA 929,Viagem
GOOGLE CLOUD COM 21,Servicos
SUBWAY SA,Alimentacao
CINEMARK SA 335,Lazer
CARREFOUR PAG,Supermercado
POSTO IPIRANGA LTDA,Combustivel
AMAZON BRASIL *TRIP 237,Varejo
CINEMARK COM,Varejo
CINESYSTEM COM,Lazer
UBER DO BRASIL RECEB 88,Transporte
HOTEL TIVOLI RECEB 489,Viagem
UBER DO BRASIL *TRIP,Transporte
CINEMARK LTDA 397,Lazer
FARMACIA SAO PAULO RECEB,Saude
FARMACIA SAO PAULO PAG,Saude
SAMSUNG BRASIL,Varejo
FARMACIA SAO PAULO 245,Saude
AMAZON PRIME LTDA,Combustivel
GLOBO PLAY *TRIP 259,Entretenimento
99 TAXI LTDA,Transporte
CARREFOUR PAG 433,Supermercado
POSTO IPIRANGA PAG,Combustivel
AWS BRASIL COM,Servicos
BURGER KING SA 125,Alimentacao
APPLE BRASIL SA,Varejo
APPLE BRASIL PAG,Saude
GOOGLE CLOUD SA,Servicos
DROGARIA RAIA RECEB,Saude
MERCADO PAGO PAG,Fintech
UBER DO BRASIL SA,Transporte
PAGBANCO LTDA,Fintech
IFOOD COM BR LTDA,Alimentacao
LOGGI PAG,Transporte
SPOTIFY LTDA 340,Entretenimento
SPOTIFY SA,Entretenimento
GLOBO PLAY LTDA,Entretenimento
MCDONALDS RECEB,Alimentacao
GOOGLE CLOUD *TRIP,Servicos
99 TAXI SA,Transporte
SUBWAY RECEB 252,Alimentacao
MCDONALDS PAG,Alimentacao
DROGARIA RAIA PAG 811,Fintech
SPOTIFY COM,Entretenimento
99 TAXI *TRIP 647,Transporte
NETFLIX RECEB 595,Combustivel
LOGGI SA,Transporte
MERCADO PAGO 327,Varejo
PADARIA DO SEU ZE PAG,Alimentacao
99 TAXI COM 654,Transporte
PAGBANCO SA,Fintech
PLAYARTE,Lazer
SPOTIFY RECEB,Entretenimento
AMERICANAS *TRIP,Varejo
POSTO IPIRANGA *TRIP,Combustivel
PAGBANCO COM,Fintech
HOTEL TIVOLI SA 814,Viagem
MERCADO PAGO RECEB,Fintech
CABIFY RECEB,Transporte
CABIFY RECEB,Transporte
GITHUB RECEB,Servicos
MCDONALDS COM,Alimentacao
PAGBANCO,Fintech
GITHUB LTDA,Servicos
LOGGI LTDA,Transporte
PADARIA DO SEU ZE,Alimentacao
AWS BRASIL RECEB,Servicos
GLOBO PLAY LTDA,Entretenimento
NETSHOES LTDA 479,Varejo
PAGBANCO SA 630,Fintech
AMAZON PRIME LTDA 545,Entretenimento
FARMACIA SAO PAULO *TRIP,Saude
LOGGI COM 767,Transporte
POSTO IPIRANGA,Combustivel
MERCADO PAGO,Fintech
FARMACIA SAO PAULO,Saude
PADARIA DO SEU ZE COM 136,Alimentacao
POSTO IPIRANGA RECEB 940,Combustivel
DROGARIA RAIA 989,Saude
CABIFY RECEB,Transporte
APPLE BRASIL *TRIP,Varejo
AMAZON BRASIL COM,Varejo
NETFLIX,Entretenimento
HBO MAX RECEB,Entretenimento
CINESYSTEM SA,Lazer
HOTEL TRANSMERICA LTDA,Viagem
HOTEL TRANSMERICA RECEB,Viagem
FARMACIA SAO PAULO *TRIP,Saude
LOGGI SA 809,Transporte
CARREFOUR COM,Supermercado
HOTEL TRANSMERICA PAG 483,Viagem
CARREFOUR SA,Supermercado
APPLE BRASIL COM,Varejo
HOTEL TRANSMERICA SA,Viagem
CARREFOUR RECEB,Supermercado
GLOBO PLAY LTDA 174,Fintech
MAGAZINE LUIZA SA,Varejo
CARREFOUR LTDA,Supermercado
AMERICANAS,Viagem
UBER DO BRASIL PAG 616,Transporte
APPLE BRASIL RECEB,Varejo
DROGASIL RECEB,Saude
DISNEY PLUS COM 571,Entretenimento
CINESYSTEM LTDA,Lazer
MCDONALDS SA,Alimentacao
PAGBANCO SA,Fintech
CABIFY LTDA,Transporte
MCDONALDS PAG,Alimentacao
PADARIA DO SEU ZE SA 599,Alimentacao
BURGER KING,Alimentacao
CARREFOUR RECEB 43,Supermercado
IFOOD COM BR SA 195,Viagem
BURGER KING PAG 230,Alimentacao
NETFLIX SA 675,Entretenimento
MAGAZINE LUIZA RECEB 723,Varejo
CABIFY SA,Transporte
PLAYARTE *TRIP,Lazer
PAGBANCO LTDA,Fintech
AMAZON BRASIL,Varejo
GITHUB *TRIP 902,Servicos
AMAZON BRASIL RECEB,Varejo
MERCADO PAGO PAG,Fintech
MICROSOFT SA 829,Servicos
NETFLIX SA,Entretenimento
CARREFOUR COM,Supermercado
BURGER KING COM,Alimentacao
CARREFOUR LTDA 560,Supermercado
DROGARIA RAIA 784,Lazer
DROGASIL LTDA 297,Saude
APPLE BRASIL PAG,Varejo
FARMACIA SAO PAULO SA,Supermercado
POSTO IPIRANGA RECEB,Combustivel
MERCADO PAGO COM,Fintech
HBO MAX COM 575,Entretenimento
NETFLIX LTDA,Viagem
HOTEL TRANSMERICA SA,Viagem
LOGGI RECEB 968,Transporte
DROGARIA RAIA *TRIP,Saude
UBER DO BRASIL COM,Transporte
DROGASIL SA 214,Saude
GLOBO PLAY SA 913,Entretenimento
FARMACIA SAO PAULO SA 817,Saude
AWS BRASIL COM,Servicos
GOOGLE CLOUD RECEB 975,Servicos
GITHUB LTDA,Servicos
PAGBANCO,Fintech
CABIFY *TRIP,Transporte
MCDONALDS RECEB,Alimentacao
PLAYARTE,Varejo
CINEMARK *TRIP,Fintech
AWS BRASIL COM,Servicos
PLAYARTE LTDA,Lazer
GLOBO PLAY PAG,Entretenimento
MICROSOFT *TRIP,Servicos
POSTO IPIRANGA,Combustivel
CINESYSTEM *TRIP 755,Lazer
DROGARIA RAIA LTDA,Saude
99 TAXI *TRIP,Transporte
IFOOD COM BR SA 627,Alimentacao
IFOOD COM BR,Alimentacao
CINESYSTEM RECEB,Lazer
CABIFY COM 591,Transporte
AWS BRASIL SA,Servicos
MERCADO PAGO RECEB 426,Fintech
PADARIA DO SEU ZE,Alimentacao
99 TAXI LTDA,Transporte
GITHUB LTDA 976,Servicos
AWS BRASIL LTDA,Servicos
AMAZON BRASIL RECEB 233,Varejo
AIRBNB COM,Viagem
GITHUB LTDA,Servicos
SUBWAY SA,Alimentacao
PADARIA DO SEU ZE RECEB,Alimentacao
CINESYSTEM LTDA,Lazer
AWS BRASIL LTDA,Servicos
GITHUB RECEB 148,Servicos
POSTO IPIRANGA LTDA,Combustivel
AWS BRASIL *TRIP,Servicos
99 TAXI PAG,Transporte
AMAZON PRIME *TRIP,Entretenimento
HOTEL TIVOLI,Viagem
FARMACIA SAO PAULO 92,Saude
RIACHUELO SA,Varejo
MICROSOFT PAG,Servicos
MERCADO PAGO 203,Fintech
MERCADO PAGO PAG,Fintech
CINEMARK COM 23,Lazer
MAGAZINE LUIZA COM,Varejo
PLAYARTE LTDA,Transporte
LOGGI COM 393,Transporte
CINEMARK RECEB,Lazer
POSTO IPIRANGA RECEB 693,Combustivel
DISNEY PLUS COM,Entretenimento
PAGBANCO,Fintech
DISNEY PLUS COM,Entretenimento
MCDONALDS SA 705,Alimentacao
SUBWAY SA,Alimentacao
RIACHUELO *TRIP 321,Varejo
99 TAXI *TRIP 112,Transporte
MICROSOFT PAG,Servicos
MCDONALDS RECEB,Alimentacao
SUBWAY COM 52,Alimentacao
SPOTIFY LTDA,Entretenimento
HBO MAX SA,Entretenimento
SPOTIFY,Entretenimento
PAGBANCO LTDA,Fintech
UBER DO BRASIL SA 575,Transporte
GLOBO PLAY SA 418,Entretenimento
CABIFY COM,Transporte
MICROSOFT COM,Servicos
MCDONALDS LTDA,Alimentacao
BURGER KING SA 450,Alimentacao
NETSHOES 488,Varejo
CARREFOUR SA,Supermercado
HOTEL TIVOLI SA 619,Lazer
SAMSUNG BRASIL COM,Varejo
CARREFOUR SA 682,Supermercado
NETFLIX COM 279,Entretenimento
SPOTIFY RECEB,Entretenimento
GLOBO PLAY COM,Entretenimento
GOOGLE CLOUD RECEB,Servicos
IFOOD COM BR,Alimentacao
CARREFOUR RECEB,Supermercado
MERCADO PAGO RECEB 451,Fintech
MICROSOFT RECEB,Servicos
DISNEY PLUS,Entretenimento
DISNEY PLUS SA 59,Entretenimento
AMAZON BRASIL COM,Varejo
CINESYSTEM,Lazer
BURGER KING RECEB,Alimentacao
PAGBANCO COM 42,Fintech
MICROSOFT RECEB 703,Servicos
AMERICANAS SA,Varejo
MERCADO PAGO 814,Fintech
UBER DO BRASIL,Transporte
GLOBO PLAY SA,Entretenimento
HBO MAX PAG,Entretenimento
POSTO IPIRANGA *TRIP,Combustivel
FARMACIA SAO PAULO LTDA 662,Saude
GOOGLE CLOUD,Servicos
BURGER KING LTDA 993,Alimentacao
AWS BRASIL RECEB 596,Servicos
HOTEL TIVOLI LTDA,Viagem
BURGER KING SA,Alimentacao
IFOOD COM BR LTDA,Alimentacao
GLOBO PLAY PAG,Entretenimento
HOTEL TRANSMERICA *TRIP,Viagem
BURGER KING LTDA 460,Alimentacao
PAGBANCO *TRIP,Fintech
AMAZON PRIME *TRIP 437,Entretenimento
MAGAZINE LUIZA 306,Varejo
CABIFY SA,Transporte
PAGBANCO COM,Fintech
CARREFOUR LTDA,Supermercado
BURGER KING COM 628,Alimentacao
99 TAXI RECEB 719,Transporte
SPOTIFY PAG 158,Entretenimento
POSTO IPIRANGA SA,Combustivel
CINEMARK COM,Lazer
PLAYARTE *TRIP,Lazer
HBO MAX,Viagem
UBER DO BRASIL SA,Transporte
CINEMARK COM,Lazer
MERCADO PAGO RECEB 7,Fintech
CINEMARK PAG 129,Lazer
NETFLIX SA,Entretenimento
MCDONALDS PAG 929,Alimentacao
CINEMARK SA 662,Lazer
PAGBANCO LTDA,Fintech
GLOBO PLAY SA,Entretenimento
AIRBNB SA,Viagem
CINESYSTEM SA,Lazer
IFOOD COM BR COM,Supermercado
SPOTIFY *TRIP 577,Entretenimento
MERCADO PAGO SA,Fintech
CINESYSTEM PAG,Lazer
CARREFOUR PAG,Supermercado
SUBWAY 41,Viagem
GOOGLE CLOUD,Servicos
AIRBNB PAG,Viagem
MERCADO PAGO LTDA 724,Fintech
GOOGLE CLOUD LTDA,Servicos
AMERICANAS,Varejo
DROGARIA RAIA,Saude
NETFLIX,Entretenimento
PAGBANCO LTDA 963,Fintech
SPOTIFY RECEB,Entretenimento
POSTO IPIRANGA,Combustivel
AWS BRASIL COM 595,Servicos
CINESYSTEM *TRIP,Lazer
SPOTIFY PAG,Entretenimento
HOTEL TRANSMERICA LTDA,Viagem
MICROSOFT LTDA,Servicos
HOTEL TRANSMERICA COM 89,Viagem
SAMSUNG BRASIL COM 992,Varejo
LOGGI 860,Transporte
POSTO IPIRANGA COM,Combustivel
HOTEL TRANSMERICA LTDA,Viagem
BURGER KING,Alimentacao
MICROSOFT,Servicos
DROGASIL RECEB,Saude
SAMSUNG BRASIL *TRIP 498,Varejo
CINEMARK COM 397,Lazer
LOGGI *TRIP,Transporte
CABIFY LTDA,Transporte
SUBWAY *TRIP,Alimentacao
SUBWAY SA,Alimentacao
GITHUB 129,Servicos
AMAZON BRASIL LTDA,Varejo
CINESYSTEM RECEB,Lazer
HBO MAX RECEB,Entretenimento
IFOOD COM BR SA,Alimentacao
AMAZON PRIME LTDA 362,Entretenimento
CABIFY COM,Transporte
HOTEL TIVOLI *TRIP,Viagem
GLOBO PLAY,Entretenimento
POSTO IPIRANGA *TRIP 902,Combustivel
AMERICANAS,Varejo
99 TAXI LTDA,Transporte
AMAZON BRASIL LTDA 926,Varejo
HOTEL TRANSMERICA,Viagem
SAMSUNG BRASIL,Varejo
DROGASIL *TRIP,Saude
PAGBANCO SA,Fintech
PAGBANCO SA 173,Fintech
NETSHOES LTDA,Varejo
DROGARIA RAIA *TRIP,Saude
UBER DO BRASIL SA,Transporte
POSTO IPIRANGA *TRIP,Combustivel
HOTEL TIVOLI PAG 384,Viagem
NETFLIX,Entretenimento
UBER DO BRASIL COM,Transporte
NETSHOES,Varejo
NETSHOES COM,Varejo
APPLE BRASIL PAG,Varejo
AIRBNB COM,Supermercado
PAGBANCO 346,Fintech
CINESYSTEM RECEB,Lazer
AMAZON BRASIL LTDA,Varejo
99 TAXI *TRIP,Transporte
HBO MAX COM 177,Entretenimento
PADARIA DO SEU ZE LTDA,Alimentacao
GLOBO PLAY 47,Entretenimento
HOTEL TIVOLI PAG 516,Viagem
LOGGI RECEB,Transporte
CARREFOUR SA,Supermercado
SPOTIFY *TRIP,Entretenimento
SUBWAY 645,Alimentacao
IFOOD COM BR RECEB,Alimentacao
AIRBNB *TRIP,Transporte
UBER DO BRASIL COM,Transporte
IFOOD COM BR PAG,Alimentacao
NETSHOES PAG 903,Varejo
99 TAXI SA 349,Transporte
CINEMARK RECEB,Varejo
MCDONALDS RECEB 788,Alimentacao
SUBWAY SA 728,Alimentacao
MERCADO PAGO RECEB,Fintech
POSTO IPIRANGA PAG,Combustivel
PAGBANCO PAG,Fintech
AMAZON PRIME PAG 403,Entretenimento
CARREFOUR,Supermercado
MICROSOFT SA 701,Servicos
SUBWAY COM 434,Alimentacao
GLOBO PLAY SA,Entretenimento
CARREFOUR RECEB,Supermercado
LOGGI *TRIP,Transporte
CABIFY PAG 13,Transporte
GOOGLE CLOUD LTDA,Servicos
HOTEL TRANSMERICA COM 937,Viagem
PADARIA DO SEU ZE LTDA,Alimentacao
DROGARIA RAIA RECEB,Saude
CINEMARK,Lazer
MERCADO PAGO LTDA 469,Fintech
DROGARIA RAIA RECEB,Saude
MICROSOFT,Servicos
AWS BRASIL RECEB,Servicos
SUBWAY *TRIP,Alimentacao
CINESYSTEM PAG,Lazer
CINESYSTEM COM,Combustivel
MICROSOFT COM,Servicos
SAMSUNG BRASIL RECEB,Varejo
HOTEL TRANSMERICA SA,Viagem
99 TAXI LTDA,Transporte
GITHUB RECEB,Servicos
CARREFOUR PAG,Supermercado
CINESYSTEM SA 709,Lazer
HOTEL TIVOLI LTDA,Fintech
POSTO IPIRANGA RECEB,Combustivel
LOGGI RECEB,Transporte
BURGER KING LTDA 250,Alimentacao
UBER DO BRASIL LTDA 316,Transporte
POSTO IPIRANGA LTDA 36,Combustivel
GOOGLE CLOUD COM,Servicos
AMAZON PRIME RECEB,Entretenimento
UBER DO BRASIL PAG 300,Transporte
IFOOD COM BR LTDA 707,Alimentacao
GOOGLE CLOUD RECEB,Servicos
SAMSUNG BRASIL PAG,Varejo
HOTEL TIVOLI,Viagem
AMAZON BRASIL LTDA,Transporte
BURGER KING SA,Alimentacao
MAGAZINE LUIZA SA,Varejo
RIACHUELO LTDA,Varejo
GOOGLE CLOUD LTDA,Servicos
SPOTIFY SA,Entretenimento
CABIFY SA 504,Transporte
PLAYARTE 294,Lazer
NETFLIX RECEB,Entretenimento
AMERICANAS *TRIP,Varejo
DROGARIA RAIA RECEB,Saude
SUBWAY SA,Alimentacao
PADARIA DO SEU ZE PAG,Alimentacao
SUBWAY SA,Alimentacao
APPLE BRASIL COM,Varejo
AWS BRASIL 214,Servicos
AMERICANAS PAG 580,Varejo
AWS BRASIL LTDA,Servicos
SAMSUNG BRASIL RECEB,Varejo
PADARIA DO SEU ZE PAG,Alimentacao
CINESYSTEM LTDA,Lazer
UBER DO BRASIL 254,Transporte
CABIFY SA 772,Transporte
LOGGI *TRIP,Transporte
AWS BRASIL RECEB,Servicos
LOGGI COM,Transporte
APPLE BRASIL LTDA,Varejo
SUBWAY RECEB 333,Alimentacao
HBO MAX SA,Entretenimento
MCDONALDS *TRIP 183,Alimentacao
BURGER KING RECEB,Alimentacao
SUBWAY PAG,Alimentacao
DROGARIA RAIA,Saude
DISNEY PLUS RECEB,Entretenimento
RIACHUELO,Varejo
MICROSOFT RECEB,Servicos
DROGARIA RAIA LTDA,Saude
MAGAZINE LUIZA COM,Varejo
PAGBANCO LTDA,Fintech
MCDONALDS,Alimentacao
AMAZON BRASIL SA,Saude
HOTEL TRANSMERICA RECEB,Viagem
LOGGI,Transporte
CINESYSTEM,Lazer
GOOGLE CLOUD COM 990,Servicos
CARREFOUR PAG,Supermercado
SPOTIFY 662,Entretenimento
RIACHUELO 21,Varejo
NETFLIX COM,Entretenimento
NETFLIX LTDA 674,Entretenimento
BURGER KING *TRIP 352,Alimentacao
HOTEL TIVOLI SA,Viagem
MERCADO PAGO RECEB 983,Fintech
MCDONALDS *TRIP,Alimentacao
GOOGLE CLOUD PAG 544,Servicos
CARREFOUR SA,Supermercado
UBER DO BRASIL SA 675,Transporte
SUBWAY COM 969,Alimentacao
NETSHOES COM,Varejo
SPOTIFY PAG,Entretenimento
AIRBNB SA,Viagem
UBER DO BRASIL LTDA,Saude
PLAYARTE SA,Lazer
POSTO IPIRANGA,Combustivel
GITHUB *TRIP,Servicos
UBER DO BRASIL PAG 254,Transporte
DROGASIL SA 684,Saude
SPOTIFY RECEB 411,Entretenimento
MERCADO PAGO RECEB,Fintech
HOTEL TRANSMERICA 942,Viagem
IFOOD COM BR COM,Alimentacao
AMAZON BRASIL SA 338,Varejo
CINEMARK SA,Lazer
99 TAXI,Transporte
MERCADO PAGO PAG,Fintech
POSTO IPIRANGA LTDA,Combustivel
UBER DO BRASIL PAG,Transporte
LOGGI COM 667,Supermercado
AWS BRASIL *TRIP,Servicos
RIACHUELO PAG,Varejo
CABIFY COM 164,Transporte
RIACHUELO COM 741,Varejo
SPOTIFY COM,Entretenimento
NETFLIX RECEB,Entretenimento
AWS BRASIL *TRIP,Servicos
CINESYSTEM *TRIP,Lazer
HOTEL TRANSMERICA,Viagem
APPLE BRASIL PAG 113,Varejo
IFOOD COM BR 477,Alimentacao
99 TAXI,Transporte
SPOTIFY SA 886,Entretenimento
CINESYSTEM SA,Lazer
RIACHUELO LTDA,Varejo
PLAYARTE LTDA,Lazer
DROGASIL SA 296,Saude
PADARIA DO SEU ZE,Alimentacao
99 TAXI PAG,Transporte
